"","State","Month","Race","Vaccine","Population","Republican.Rep.","Democratics.Rep.","Region","Season"
"156","Colorado","Oct","White",24.1,36.84618722,0.41,0.42,"West","Near"
"157","Connecticut","Oct","White",27.4,494.0544892,0.32,0.5,"Northeast","Near"
"158","Delaware","Oct","White",22.2,305.8398977,0.29,0.55,"South","Near"
"159","Florida","Oct","White",16.5,209.0564105,0.37,0.44,"South","Near"
"160","Georgia","Oct","White",17.2,94.7365804,0.41,0.41,"South","Near"
"161","Hawaii","Oct","White",15.8,48.35497431,0.28,0.51,"West","Near"
"162","Idaho","Oct","White",20.2,17.00646518,0.49,0.32,"West","Near"
"163","Illinois","Oct","White",20.6,140.9219146,0.33,0.48,"Midwest","Near"
"164","Indiana","Oct","White",19.1,147.1643435,0.42,0.37,"Midwest","Near"
"165","Iowa","Oct","White",25.5,48.34451902,0.41,0.4,"Midwest","Near"
"166","Kansas","Oct","White",25.9,27.01855224,0.46,0.31,"Midwest","Near"
"167","Kentucky","Oct","White",20,94.88560858,0.44,0.43,"South","Near"
"168","Louisiana","Oct","White",16.2,62.8721021,0.41,0.43,"South","Near"
"169","Maine","Oct","White",20.3,40.40466548,0.36,0.47,"Northeast","Near"
"170","Maryland","Oct","White",27,313.6722251,0.31,0.55,"South","Near"
"171","Massachusetts","Oct","White",23.9,625.996938,0.27,0.56,"Northeast","Near"
"172","Michigan","Oct","White",19.8,132.2367569,0.34,0.47,"Midwest","Near"
"173","Minnesota","Oct","White",24.1,55.95608978,0.39,0.46,"Midwest","Near"
"174","Mississippi","Oct","White",19.2,35.99025877,0.44,0.42,"South","Near"
"175","Missouri","Oct","White",23.2,70.46388865,0.41,0.42,"Midwest","Near"
"176","Montana","Oct","White",22,6.225926791,0.49,0.3,"West","Near"
"177","Nebraska","Oct","White",26.3,19.74081011,0.47,0.36,"Midwest","Near"
"178","Nevada","Oct","White",18.2,13.31713203,0.37,0.46,"West","Near"
"179","New Hampshire","Oct","White",20.9,135.2202029,0.35,0.44,"Northeast","Near"
"180","New Jersey","Oct","White",NA,665.7877072,0.3,0.51,"Northeast","Near"
"181","New Mexico","Oct","White",21.1,6.43256293,0.37,0.48,"West","Near"
"182","New York","Oct","White",21.4,231.5894037,0.28,0.53,"Northeast","Near"
"183","North Carolina","Oct","White",26,132.8646907,0.41,0.43,"South","Near"
"184","North Dakota","Oct","White",26.8,9.236904658,0.5,0.33,"Midwest","Near"
"185","Ohio","Oct","White",21.3,224.7545723,0.42,0.4,"Midwest","Near"
"186","Oklahoma","Oct","White",24.4,37.52146944,0.45,0.4,"South","Near"
"187","Oregon","Oct","White",19.6,32.63181359,0.32,0.47,"West","Near"
"188","Pennsylvania","Oct","White",24.8,218.2271531,0.39,0.46,"Northeast","Near"
"189","Rhode Island","Oct","White",25.8,738.5589942,0.3,0.48,"Northeast","Near"
"190","South Carolina","Oct","White",19.9,106.2007904,0.43,0.39,"South","Near"
"191","South Dakota","Oct","White",27.2,9.432751851,0.53,0.37,"Midwest","Near"
"192","Tennessee","Oct","White",20.6,120.3839398,0.48,0.36,"South","Near"
"193","Texas","Oct","White",19.5,45.26330017,0.39,0.4,"South","Near"
"194","Utah","Oct","White",20.8,29.55524048,0.54,0.3,"West","Near"
"195","Vermont","Oct","White",22.2,62.56957509,0.29,0.57,"Northeast","Near"
"196","Virginia","Oct","White",25.2,131.9899995,0.43,0.39,"South","Near"
"197","Washington","Oct","White",22.8,76.2533868,0.33,0.44,"West","Near"
"198","West Virginia","Oct","White",22.3,69.35313655,0.43,0.41,"South","Near"
"199","Wisconsin","Oct","White",21.9,86.65012704,0.42,0.42,"Midwest","Near"
"200","Wyoming","Oct","White",19.1,5.010926317,0.57,0.25,"West","Near"
"201","Alabama","Nov","White",8.8,62.88571429,0.52,0.35,"South","Near"
"202","Alaska","Nov","White",9.2,0.785223985,0.39,0.32,"West","Near"
"203","Arizona","Nov","White",7.7,33.76074867,0.4,0.39,"West","Near"
"204","Arkansas","Nov","White",10.9,41.73417187,0.46,0.38,"South","Near"
"205","California","Nov","White",9.59999999999999,93.7126041,0.3,0.49,"West","Near"
"206","Colorado","Nov","White",9.4,36.84618722,0.41,0.42,"West","Near"
"207","Connecticut","Nov","White",13.1,494.0544892,0.32,0.5,"Northeast","Near"
"208","Delaware","Nov","White",10.5,305.8398977,0.29,0.55,"South","Near"
"209","Florida","Nov","White",8.5,209.0564105,0.37,0.44,"South","Near"
"210","Georgia","Nov","White",9.4,94.7365804,0.41,0.41,"South","Near"
"211","Hawaii","Nov","White",7.6,48.35497431,0.28,0.51,"West","Near"
"212","Idaho","Nov","White",8.4,17.00646518,0.49,0.32,"West","Near"
"213","Illinois","Nov","White",9.9,140.9219146,0.33,0.48,"Midwest","Near"
"214","Indiana","Nov","White",10.4,147.1643435,0.42,0.37,"Midwest","Near"
"215","Iowa","Nov","White",11.1,48.34451902,0.41,0.4,"Midwest","Near"
"216","Kansas","Nov","White",10.4,27.01855224,0.46,0.31,"Midwest","Near"
"217","Kentucky","Nov","White",9.7,94.88560858,0.44,0.43,"South","Near"
"218","Louisiana","Nov","White",7.8,62.8721021,0.41,0.43,"South","Near"
"219","Maine","Nov","White",12,40.40466548,0.36,0.47,"Northeast","Near"
"220","Maryland","Nov","White",11.7,313.6722251,0.31,0.55,"South","Near"
"221","Massachusetts","Nov","White",12.3,625.996938,0.27,0.56,"Northeast","Near"
"222","Michigan","Nov","White",8.5,132.2367569,0.34,0.47,"Midwest","Near"
"223","Minnesota","Nov","White",11,55.95608978,0.39,0.46,"Midwest","Near"
"224","Mississippi","Nov","White",10.3,35.99025877,0.44,0.42,"South","Near"
"225","Missouri","Nov","White",9.6,70.46388865,0.41,0.42,"Midwest","Near"
"226","Montana","Nov","White",10,6.225926791,0.49,0.3,"West","Near"
"227","Nebraska","Nov","White",11,19.74081011,0.47,0.36,"Midwest","Near"
"228","Nevada","Nov","White",7.6,13.31713203,0.37,0.46,"West","Near"
"229","New Hampshire","Nov","White",11.4,135.2202029,0.35,0.44,"Northeast","Near"
"230","New Jersey","Nov","White",NA,665.7877072,0.3,0.51,"Northeast","Near"
"231","New Mexico","Nov","White",10.1,6.43256293,0.37,0.48,"West","Near"
"232","New York","Nov","White",11.4,231.5894037,0.28,0.53,"Northeast","Near"
"233","North Carolina","Nov","White",9.9,132.8646907,0.41,0.43,"South","Near"
"234","North Dakota","Nov","White",11,9.236904658,0.5,0.33,"Midwest","Near"
"235","Ohio","Nov","White",9.7,224.7545723,0.42,0.4,"Midwest","Near"
"236","Oklahoma","Nov","White",10.2,37.52146944,0.45,0.4,"South","Near"
"237","Oregon","Nov","White",9.4,32.63181359,0.32,0.47,"West","Near"
"238","Pennsylvania","Nov","White",10.3,218.2271531,0.39,0.46,"Northeast","Near"
"239","Rhode Island","Nov","White",15.1,738.5589942,0.3,0.48,"Northeast","Near"
"240","South Carolina","Nov","White",9.7,106.2007904,0.43,0.39,"South","Near"
"241","South Dakota","Nov","White",12.9,9.432751851,0.53,0.37,"Midwest","Near"
"242","Tennessee","Nov","White",9.3,120.3839398,0.48,0.36,"South","Near"
"243","Texas","Nov","White",8.7,45.26330017,0.39,0.4,"South","Near"
"244","Utah","Nov","White",8.6,29.55524048,0.54,0.3,"West","Near"
"245","Vermont","Nov","White",14.1,62.56957509,0.29,0.57,"Northeast","Near"
"246","Virginia","Nov","White",11.2,131.9899995,0.43,0.39,"South","Near"
"247","Washington","Nov","White",10.4,76.2533868,0.33,0.44,"West","Near"
"248","West Virginia","Nov","White",10.1,69.35313655,0.43,0.41,"South","Near"
"249","Wisconsin","Nov","White",12.5,86.65012704,0.42,0.42,"Midwest","Near"
"250","Wyoming","Nov","White",8.9,5.010926317,0.57,0.25,"West","Near"
"251","Alabama","Dec","White",2.8,62.88571429,0.52,0.35,"South","Flu"
"252","Alaska","Dec","White",2.4,0.785223985,0.39,0.32,"West","Flu"
"253","Arizona","Dec","White",3.6,33.76074867,0.4,0.39,"West","Flu"
"254","Arkansas","Dec","White",1.9,41.73417187,0.46,0.38,"South","Flu"
"255","California","Dec","White",3.6,93.7126041,0.3,0.49,"West","Flu"
"256","Colorado","Dec","White",2.9,36.84618722,0.41,0.42,"West","Flu"
"257","Connecticut","Dec","White",4.8,494.0544892,0.32,0.5,"Northeast","Flu"
"258","Delaware","Dec","White",3.8,305.8398977,0.29,0.55,"South","Flu"
"259","Florida","Dec","White",2.6,209.0564105,0.37,0.44,"South","Flu"
"260","Georgia","Dec","White",1.8,94.7365804,0.41,0.41,"South","Flu"
"261","Hawaii","Dec","White",4.8,48.35497431,0.28,0.51,"West","Flu"
"262","Idaho","Dec","White",2.6,17.00646518,0.49,0.32,"West","Flu"
"263","Illinois","Dec","White",3.09999999999999,140.9219146,0.33,0.48,"Midwest","Flu"
"264","Indiana","Dec","White",4,147.1643435,0.42,0.37,"Midwest","Flu"
